Name	GSM1074947_APPLY_p_Hulin_58_430A_Mouse430A_2_A01_528242.EXPRESSION	GSM1074948_APPLY_p_Hulin_58_430A_Mouse430A_2_A02_528130.EXPRESSION	GSM1074949_APPLY_p_Hulin_58_430A_Mouse430A_2_A03_528272.EXPRESSION	GSM1074950_APPLY_p_Hulin_58_430A_Mouse430A_2_A04_528190.EXPRESSION	GSM1074951_APPLY_p_Hulin_58_430A_Mouse430A_2_A05_528142.EXPRESSION	GSM1074952_APPLY_p_Hulin_58_430A_Mouse430A_2_A06_528174.EXPRESSION	GSM1074953_APPLY_p_Hulin_58_430A_Mouse430A_2_A07_528222.EXPRESSION	GSM1074954_APPLY_p_Hulin_58_430A_Mouse430A_2_A08_528264.EXPRESSION	GSM1074955_APPLY_p_Hulin_58_430A_Mouse430A_2_A09_528228.EXPRESSION	GSM1074956_APPLY_p_Hulin_58_430A_Mouse430A_2_A10_528122.EXPRESSION	GSM1074957_APPLY_p_Hulin_58_430A_Mouse430A_2_A11_528118.EXPRESSION	GSM1074958_APPLY_p_Hulin_58_430A_Mouse430A_2_A12_528294.EXPRESSION	GSM1074959_APPLY_p_Hulin_58_430A_Mouse430A_2_B01_528198.EXPRESSION	GSM1074960_APPLY_p_Hulin_58_430A_Mouse430A_2_B02_528162.EXPRESSION	GSM1074961_APPLY_p_Hulin_58_430A_Mouse430A_2_B03_528172.EXPRESSION	GSM1074962_APPLY_p_Hulin_58_430A_Mouse430A_2_B04_528232.EXPRESSION	GSM1074963_APPLY_p_Hulin_58_430A_Mouse430A_2_B05_528290.EXPRESSION	GSM1074964_APPLY_p_Hulin_58_430A_Mouse430A_2_B06_528150.EXPRESSION	GSM1074965_APPLY_p_Hulin_58_430A_Mouse430A_2_B07_528284.EXPRESSION	GSM1074966_APPLY_p_Hulin_58_430A_Mouse430A_2_B08_528244.EXPRESSION	GSM1074967_APPLY_p_Hulin_58_430A_Mouse430A_2_B09_528186.EXPRESSION	GSM1074968_APPLY_p_Hulin_58_430A_Mouse430A_2_B10_528194.EXPRESSION	GSM1074969_APPLY_p_Hulin_58_430A_Mouse430A_2_B11_528262.EXPRESSION	GSM1074970_APPLY_p_Hulin_58_430A_Mouse430A_2_B12_528132.EXPRESSION	GSM1074971_APPLY_p_Hulin_58_430A_Mouse430A_2_C01_528304.EXPRESSION	GSM1074972_APPLY_p_Hulin_58_430A_Mouse430A_2_C02_528216.EXPRESSION	GSM1074973_APPLY_p_Hulin_58_430A_Mouse430A_2_C03_528184.EXPRESSION	GSM1074974_APPLY_p_Hulin_58_430A_Mouse430A_2_C04_528282.EXPRESSION	GSM1074975_APPLY_p_Hulin_58_430A_Mouse430A_2_C05_528136.EXPRESSION	GSM1074976_APPLY_p_Hulin_58_430A_Mouse430A_2_C06_528296.EXPRESSION	GSM1074977_APPLY_p_Hulin_58_430A_Mouse430A_2_C07_528298.EXPRESSION	GSM1074978_APPLY_p_Hulin_58_430A_Mouse430A_2_C08_528280.EXPRESSION	GSM1074979_APPLY_p_Hulin_58_430A_Mouse430A_2_C09_528286.EXPRESSION	GSM1074980_APPLY_p_Hulin_58_430A_Mouse430A_2_C10_528210.EXPRESSION	GSM1074981_APPLY_p_Hulin_58_430A_Mouse430A_2_C11_528134.EXPRESSION	GSM1074982_APPLY_p_Hulin_58_430A_Mouse430A_2_C12_528212.EXPRESSION	GSM1074983_APPLY_p_Hulin_58_430A_Mouse430A_2_D01_528268.EXPRESSION	GSM1074984_APPLY_p_Hulin_58_430A_Mouse430A_2_D02_528182.EXPRESSION	GSM1074985_APPLY_p_Hulin_58_430A_Mouse430A_2_D03_528274.EXPRESSION	GSM1074986_APPLY_p_Hulin_58_430A_Mouse430A_2_D04_528204.EXPRESSION	GSM1074987_APPLY_p_Hulin_58_430A_Mouse430A_2_D05_528252.EXPRESSION	GSM1074988_APPLY_p_Hulin_58_430A_Mouse430A_2_D06_528278.EXPRESSION	GSM1074989_APPLY_p_Hulin_58_430A_Mouse430A_2_D07_528152.EXPRESSION	GSM1074990_APPLY_p_Hulin_58_430A_Mouse430A_2_D08_528188.EXPRESSION	GSM1074991_APPLY_p_Hulin_58_430A_Mouse430A_2_D09_528292.EXPRESSION	GSM1074992_APPLY_p_Hulin_58_430A_Mouse430A_2_D10_528250.EXPRESSION	GSM1074993_APPLY_p_Hulin_58_430A_Mouse430A_2_D11_528164.EXPRESSION	GSM1074994_APPLY_p_Hulin_58_430A_Mouse430A_2_D12_528160.EXPRESSION	GSM1074995_APPLY_p_Hulin_58_430A_Mouse430A_2_E01_528176.EXPRESSION	GSM1074996_APPLY_p_Hulin_58_430A_Mouse430A_2_E02_528206.EXPRESSION	GSM1074997_APPLY_p_Hulin_58_430A_Mouse430A_2_E03_528124.EXPRESSION	GSM1074998_APPLY_p_Hulin_58_430A_Mouse430A_2_E04_528254.EXPRESSION	GSM1074999_APPLY_p_Hulin_58_430A_Mouse430A_2_E05_528128.EXPRESSION	GSM1075000_APPLY_p_Hulin_58_430A_Mouse430A_2_E06_528276.EXPRESSION	GSM1075001_APPLY_p_Hulin_58_430A_Mouse430A_2_E07_528166.EXPRESSION	GSM1075002_APPLY_p_Hulin_58_430A_Mouse430A_2_E08_528126.EXPRESSION	GSM1075003_APPLY_p_Hulin_58_430A_Mouse430A_2_E09_528236.EXPRESSION	GSM1075004_APPLY_p_Hulin_58_430A_Mouse430A_2_E10_528246.EXPRESSION
Copg1	9.257099998	9.240964965	9.443342825	9.198080453	9.503210342	9.554853679	9.36217194	9.56899579	9.479916772	9.279564822	9.326458845	9.395851438	9.320116931	9.496899629	9.305257501	9.422501426	9.277757897	9.235379587	8.914093841	8.873772229	9.44351856	9.403171633	9.581820754	9.510428872	9.61223229	9.579032865	9.719825883	9.608368557	9.518412994	9.371619229	9.56599624	9.536411981	9.578996744	9.561327993	9.568729641	9.714440777	9.586390457	9.590781033	9.477213681	9.556877505	9.170503395	9.666342179	9.569205766	9.661509905	9.37264876	9.365762327	9.489357337	9.502145053	9.185550013	9.762804786	9.649702792	9.545838145	9.389505715	9.54956623	9.628423699	9.653795561	9.608623887	9.569295242
Atp6v0d1	9.704377159	10.4504294	10.72634152	8.898485949	7.816561387	7.675789409	7.98049107	7.943562343	8.172842275	8.39909443	8.517814191	8.596417708	8.705234132	8.823293886	8.842074946	8.865088805	8.99290008	8.845938247	9.791706388	10.10457269	10.2814318	8.904202728	7.983881846	7.936763395	8.443081361	8.397410459	8.689935522	8.868392506	9.067525229	9.0939683	9.220387286	9.154938973	9.288861201	9.305812464	9.559151137	9.808490425	9.162433524	9.24713602	9.550155034	9.805537613	10.32634031	8.745894523	8.007099244	8.370234923	8.624198617	8.836384083	8.99199438	9.069114128	10.11726146	8.970669179	8.360115743	8.787209117	9.180657507	9.364851595	9.303110676	9.469779287	9.37487844	9.465964589
Golga7	10.48243212	10.30474345	10.51544882	10.92477212	10.76941752	11.03910889	10.97347122	10.77409085	10.61416797	10.77610581	10.57706966	10.51137414	10.58304876	10.56270601	10.63273484	10.68547215	10.81017921	10.67388939	10.39427347	10.40174987	10.6594476	10.92626916	10.87876809	10.95290114	10.87448107	10.83271715	10.86923522	10.88708848	10.7127383	10.65476924	10.73450383	10.75647231	10.67577772	10.92719622	10.81579111	11.25430262	10.82783776	10.90936516	11.09873364	11.36813466	10.25281739	10.73689783	10.85234134	10.67499136	10.5349568	10.64368249	10.62101315	10.68957002	10.29364323	10.7823679	10.91467784	10.73091631	10.70050124	10.85681433	10.82323793	10.85613336	10.90272729	11.05124588
Psph	8.221890228	7.707545169	6.992103235	7.322841747	8.055133177	8.672157743	8.626107459	9.032944362	9.444216652	9.838545631	9.883162435	9.866678352	9.832648409	10.1588908	10.74502613	10.3810752	9.602559995	9.518936768	8.417275421	7.621215903	6.825922449	7.358449403	8.422918142	8.804064627	8.742313533	9.103485967	9.313665537	9.567852797	9.529241231	9.431465205	9.646823482	10.66384083	10.44844853	10.9362209	9.652821017	10.62447908	10.47837632	10.84580177	9.781681419	10.51848198	7.792408093	7.437962348	8.918325581	9.774588354	9.789396827	9.795995612	10.20762562	9.908475706	7.977296331	7.563109571	8.833045606	9.543645119	9.497365916	9.330827788	10.1780672	9.984689028	10.25677245	9.990758149
Trappc4	9.066625282	9.103602158	9.675268166	9.639101771	9.904733481	10.3585599	10.45456526	10.54424846	10.42956065	9.881408314	9.842775793	9.683432724	9.997689826	10.00662674	10.06169131	9.955121734	10.16733557	10.18269626	8.926906649	8.979248692	9.385448912	9.538420377	9.914548315	10.24828549	10.17876297	10.41970332	10.16389783	9.734749417	9.730169429	9.713776664	9.941215558	9.974216594	9.911338224	9.947963453	9.927294649	9.998030089	9.936765531	9.894000137	9.79850042	9.831757716	8.767360326	9.556272113	10.35427011	10.05025505	9.583029702	9.830302208	9.951624884	9.950462989	8.831963372	9.524398526	10.20244236	9.969709839	9.700316746	9.79439405	9.955316448	9.972993796	9.948444518	9.864193418
Dpm2	8.973214755	8.903150424	9.167669838	9.353008989	9.433168032	9.298802808	9.537190827	9.403591608	9.433935552	9.213868143	9.233600081	9.176683812	9.101156952	9.201465655	9.057433047	9.16973881	9.012278245	9.09199581	9.046738713	9.374091708	9.258350479	9.351884023	9.519240046	9.3854442	9.634378682	9.464538095	9.433526132	9.369974827	9.412690166	9.299099318	9.229000152	9.26551072	9.30535638	9.285972597	9.256304057	9.295027401	9.271919653	9.205955325	9.282883679	9.162330335	8.880622143	9.386639782	9.500262351	9.4427327	9.097673999	8.936120531	9.104649889	9.144773286	9.387549897	9.481249597	9.577572024	9.507432509	9.338647111	9.264289913	9.292181268	9.281428242	9.409323033	9.366880972
Psmb5	10.32535772	10.15719612	10.61052984	11.07341014	11.60236013	11.71263675	12.01643703	12.07488792	11.9675792	11.70792707	11.78774758	11.84023718	11.90826041	12.01227057	11.81549911	11.68667897	11.85959343	11.75899025	10.3461389	10.37626686	10.54007142	11.24676012	11.80062151	11.73962523	12.03826587	12.02809099	11.83895486	11.6564456	11.76221819	11.73090444	11.87143648	11.77322947	11.85805767	11.75587172	11.84014846	11.66338799	11.80968223	11.7967801	11.79698949	11.7387133	10.18138616	11.27579946	11.96501219	11.82090418	11.75491736	11.7622188	11.86077593	11.86725772	10.28014286	11.21399661	11.92072774	11.80999304	11.72516463	11.77079018	11.85736704	11.7616133	11.80116288	11.78363611
Dhrs1	7.090030323	6.74005317	6.856461724	6.477289818	5.649825044	5.975553406	6.993440519	6.396243162	6.529177143	6.714145127	6.967070606	6.695148904	6.654064237	7.112514571	7.07062224	7.081407527	7.07830618	7.243023849	6.947973244	6.843904357	6.582511239	6.580989224	5.842878042	5.891010299	6.793078495	6.687378239	6.800838979	6.770714958	6.639815548	7.279222571	7.534702323	7.897147508	7.758539708	8.038722119	7.837014988	9.078614665	7.835044259	8.000671977	7.918102772	8.880532543	6.854383853	6.574792793	6.644634217	6.98447294	7.090668217	6.720136687	7.041549377	7.159219491	6.829136223	6.915678234	6.62770842	6.705362969	7.439485702	7.580638426	7.922027068	7.912764776	7.735839603	8.002663709
Ppm1a	10.0287885	10.40173332	10.39877116	10.20157655	10.02663693	10.07077185	9.995734209	9.765325097	9.623382363	9.407712499	9.547805952	9.558029883	9.500444203	9.53163786	9.641930391	9.499034207	9.53673079	9.496990036	10.18346544	10.49750613	10.37793129	10.03676384	9.865346963	10.03091274	9.799455857	9.687161545	9.502271396	9.430423888	9.52132692	9.53867842	9.43699578	9.396699046	9.576099396	9.484015454	9.48239493	9.457377998	9.47622517	9.42347151	9.427146514	9.338607692	10.28382937	10.14147624	9.833811134	9.556225579	9.497609933	9.425498652	9.508416517	9.420750244	10.36949276	10.00639031	9.767585428	9.474284424	9.481354998	9.484347842	9.485098815	9.439971255	9.418632666	9.374525249
Psenen	11.53214698	11.27279213	11.34019137	11.13765162	11.05483234	10.91131714	11.04295279	10.9826528	10.98138174	10.72457383	10.57084556	10.44791737	10.61196172	10.74136686	10.6496319	10.49364844	10.74074035	10.71175884	11.65654517	11.45490124	11.4494755	11.2993049	11.2951734	11.15133426	11.06505042	10.93555923	10.79627239	10.58843871	10.56786015	10.38456033	10.53741212	10.66066247	10.72931189	10.76246151	10.79985089	10.94559476	10.70598435	10.72272498	10.92127738	11.18302733	11.17499756	11.22573236	11.02859167	10.6621942	10.45733521	10.50326441	10.46803002	10.58690644	11.40442453	11.20632518	11.05678955	10.60971422	10.45286704	10.57266787	10.65156705	10.7669732	10.69196807	10.95940142
